
date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:21:07	100;5000;0.4;0.7;0.8;Sphere;20;30;201;48.961967589883116;
06-12-2018_19:21:07	100;5000;0.4;0.7;0.8;Rastrigin;20;30;201;37.683178265841185;
06-12-2018_19:21:07	100;5000;0.4;0.7;0.8;Schwefel;20;30;201;675.4306909911736;
06-12-2018_19:21:07	100;5000;0.4;0.7;0.8;Griewank;20;30;201;21.719096266149954;
tiempo	1528	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:21:40	100;5000;0.4;0.7;0.9;Sphere;20;30;201;19.329783856686298;
06-12-2018_19:21:40	100;5000;0.4;0.7;0.9;Rastrigin;20;30;201;11.441178699214664;
06-12-2018_19:21:40	100;5000;0.4;0.7;0.9;Schwefel;20;30;201;97.65426211124831;
06-12-2018_19:21:40	100;5000;0.4;0.7;0.9;Griewank;20;30;201;4.251233307901037;
tiempo	1462	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:22:40	100;5000;0.4;0.75;0.8;Sphere;20;30;201;48.61617237354714;
06-12-2018_19:22:40	100;5000;0.4;0.75;0.8;Rastrigin;20;30;201;38.89910934000957;
06-12-2018_19:22:40	100;5000;0.4;0.75;0.8;Schwefel;20;30;201;672.664277991865;
06-12-2018_19:22:40	100;5000;0.4;0.75;0.8;Griewank;20;30;201;22.87466895301069;
tiempo	1377	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:23:42	100;5000;0.4;0.75;0.9;Sphere;20;30;201;18.99581106166237;
06-12-2018_19:23:42	100;5000;0.4;0.75;0.9;Rastrigin;20;30;201;10.883502219403999;
06-12-2018_19:23:42	100;5000;0.4;0.75;0.9;Schwefel;20;30;201;110.15196646616293;
06-12-2018_19:23:42	100;5000;0.4;0.75;0.9;Griewank;20;30;201;4.256674957129888;
tiempo	1271	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:24:15	100;5000;0.4;0.8;0.8;Sphere;20;30;201;46.54629775951822;
06-12-2018_19:24:15	100;5000;0.4;0.8;0.8;Rastrigin;20;30;201;37.53547013459376;
06-12-2018_19:24:15	100;5000;0.4;0.8;0.8;Schwefel;20;30;201;655.3328373572695;
06-12-2018_19:24:15	100;5000;0.4;0.8;0.8;Griewank;20;30;201;20.97208736817675;
tiempo	1369	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:24:43	100;5000;0.4;0.8;0.9;Sphere;20;30;201;18.330398162308043;
06-12-2018_19:24:43	100;5000;0.4;0.8;0.9;Rastrigin;20;30;201;10.778271348769215;
06-12-2018_19:24:43	100;5000;0.4;0.8;0.9;Schwefel;20;30;201;96.85047469622307;
06-12-2018_19:24:43	100;5000;0.4;0.8;0.9;Griewank;20;30;201;3.9472033104054627;
tiempo	1370	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:25:23	100;5000;0.5;0.7;0.8;Sphere;20;30;201;47.4642828131811;
06-12-2018_19:25:23	100;5000;0.5;0.7;0.8;Rastrigin;20;30;201;37.28695524576902;
06-12-2018_19:25:23	100;5000;0.5;0.7;0.8;Schwefel;20;30;201;658.1897292443412;
06-12-2018_19:25:23	100;5000;0.5;0.7;0.8;Griewank;20;30;201;21.771293674933677;
tiempo	1325	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:25:47	100;5000;0.5;0.7;0.9;Sphere;20;30;201;18.27541296014471;
06-12-2018_19:25:47	100;5000;0.5;0.7;0.9;Rastrigin;20;30;201;10.913126782242172;
06-12-2018_19:25:47	100;5000;0.5;0.7;0.9;Schwefel;20;30;201;93.59766311216366;
06-12-2018_19:25:47	100;5000;0.5;0.7;0.9;Griewank;20;30;201;3.8234499533108477;
tiempo	1221	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:26:20	100;5000;0.5;0.75;0.8;Sphere;20;30;201;48.125261123095534;
06-12-2018_19:26:20	100;5000;0.5;0.75;0.8;Rastrigin;20;30;201;36.036256397192645;
06-12-2018_19:26:20	100;5000;0.5;0.75;0.8;Schwefel;20;30;201;639.4120262259811;
06-12-2018_19:26:20	100;5000;0.5;0.75;0.8;Griewank;20;30;201;22.201811997087038;
tiempo	1354	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:26:42	100;5000;0.5;0.75;0.9;Sphere;20;30;201;18.60442238313136;
06-12-2018_19:26:42	100;5000;0.5;0.75;0.9;Rastrigin;20;30;201;11.607338138196406;
06-12-2018_19:26:42	100;5000;0.5;0.75;0.9;Schwefel;20;30;201;96.55465604844818;
06-12-2018_19:26:42	100;5000;0.5;0.75;0.9;Griewank;20;30;201;4.217276310750108;
tiempo	1282	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:27:08	100;5000;0.5;0.8;0.8;Sphere;20;30;201;48.7292325661634;
06-12-2018_19:27:08	100;5000;0.5;0.8;0.8;Rastrigin;20;30;201;37.23257829434035;
06-12-2018_19:27:08	100;5000;0.5;0.8;0.8;Schwefel;20;30;201;633.2480074540912;
06-12-2018_19:27:08	100;5000;0.5;0.8;0.8;Griewank;20;30;201;22.5927685249332;
tiempo	1378	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:27:39	100;5000;0.5;0.8;0.9;Sphere;20;30;201;18.520966504400977;
06-12-2018_19:27:39	100;5000;0.5;0.8;0.9;Rastrigin;20;30;201;10.8254678489437;
06-12-2018_19:27:39	100;5000;0.5;0.8;0.9;Schwefel;20;30;201;96.70840387461264;
06-12-2018_19:27:39	100;5000;0.5;0.8;0.9;Griewank;20;30;201;4.079973434263191;
tiempo	1432	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:28:09	100;5000;0.6;0.7;0.8;Sphere;20;30;201;46.60831893425074;
06-12-2018_19:28:09	100;5000;0.6;0.7;0.8;Rastrigin;20;30;201;38.17317724861635;
06-12-2018_19:28:09	100;5000;0.6;0.7;0.8;Schwefel;20;30;201;608.2425562166153;
06-12-2018_19:28:09	100;5000;0.6;0.7;0.8;Griewank;20;30;201;20.94190774755418;
tiempo	1282	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:28:33	100;5000;0.6;0.7;0.9;Sphere;20;30;201;18.576539174798125;
06-12-2018_19:28:33	100;5000;0.6;0.7;0.9;Rastrigin;20;30;201;9.619255298266834;
06-12-2018_19:28:33	100;5000;0.6;0.7;0.9;Schwefel;20;30;201;104.3567472016129;
06-12-2018_19:28:33	100;5000;0.6;0.7;0.9;Griewank;20;30;201;4.236655876144685;
tiempo	1354	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:28:58	100;5000;0.6;0.75;0.8;Sphere;20;30;201;48.53009690107698;
06-12-2018_19:28:58	100;5000;0.6;0.75;0.8;Rastrigin;20;30;201;37.58142075974527;
06-12-2018_19:28:58	100;5000;0.6;0.75;0.8;Schwefel;20;30;201;586.8907851652978;
06-12-2018_19:28:58	100;5000;0.6;0.75;0.8;Griewank;20;30;201;22.24072081039644;
tiempo	1358	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:29:19	100;5000;0.6;0.75;0.9;Sphere;20;30;201;18.93632161429206;
06-12-2018_19:29:19	100;5000;0.6;0.75;0.9;Rastrigin;20;30;201;10.88373708316855;
06-12-2018_19:29:19	100;5000;0.6;0.75;0.9;Schwefel;20;30;201;97.40593819547225;
06-12-2018_19:29:19	100;5000;0.6;0.75;0.9;Griewank;20;30;201;4.418772785499237;
tiempo	1235	milis

date	hms;maxImprovisations;minPar;maxPar;hmcr;function;size;nExp;seed;mean;
06-12-2018_19:29:51	100;5000;0.6;0.8;0.8;Sphere;20;30;201;49.77897764590224;
06-12-2018_19:29:51	100;5000;0.6;0.8;0.8;Rastrigin;20;30;201;37.933111215769685;
06-12-2018_19:29:51	100;5000;0.6;0.8;0.8;Schwefel;20;30;201;623.8604748679992;
06-12-2018_19:29:51	100;5000;0.6;0.8;0.8;Griewank;20;30;201;24.20872669668667;
tiempo	1363	milis

